 ,Area,Mean,Min,Max,X,Y,Y_corr,Correction,,,
1,0,91,91,91,796296.296,264.055,-37,301.055,,,
2,0,92,92,92,2000000,200.115,-100.94,,,,
3,0,92,92,92,2203703.704,185.945,-115.11,,,dp,1666666.667
4,0,94,94,94,2500000,155.876,-145.179,,,dy,-263.709
5,0,91,91,91,2750000,135.829,-165.226,,,,
6,0,89,89,89,3046296.296,111.636,-189.419,,,dp/dy,-6320.09778581694
7,0,93,93,93,3194444.444,103.687,-197.368,,,,
8,0,91,91,91,3314814.815,73.963,-227.092,,,,
9,0,94,94,94,2944444.444,55.991,-245.064,,,p_top ,562452.677924773
10,0,93,93,93,2462962.963,0.346,-300.709,,,,
